,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Sargatskoye,55.6101,73.4972,11.08,95,99,13.49,RU,overcast clouds
1,Oussouye,12.485,-16.5469,68.43,22,52,7.43,SN,broken clouds
2,Punta Arenas,-53.15,-70.9167,48.2,71,0,20.71,CL,clear sky
3,Saint George,37.1041,-113.5841,39.2,75,1,3.06,US,clear sky
4,Katubao,5.8892,124.8294,86.0,58,75,10.36,PH,broken clouds
5,Husavik,66.0449,-17.3389,15.8,73,75,9.22,IS,broken clouds
6,Avarua,-21.2078,-159.775,78.8,89,75,2.3,CK,broken clouds
7,Yellowknife,62.456,-114.3525,-18.0,76,1,5.75,CA,clear sky
8,Ushuaia,-54.8,-68.3,46.4,66,0,10.36,AR,clear sky
9,Marystown,47.1666,-55.1483,27.66,95,98,10.2,CA,overcast clouds
10,Port Alfred,-33.5906,26.891,73.99,79,42,2.98,ZA,scattered clouds
11,Bluff,-46.6,168.3333,58.08,76,98,6.98,NZ,overcast clouds
12,Cape Town,-33.9258,18.4232,69.01,88,75,12.66,ZA,light intensity drizzle
13,Niamey,13.5137,2.1098,66.9,22,4,9.31,NE,clear sky
14,Auki,-8.7676,160.7034,83.32,75,95,15.52,SB,light rain
15,Faanui,-16.4833,-151.75,82.45,70,98,10.94,PF,overcast clouds
16,Liancheng,24.0519,105.075,65.12,57,69,9.89,CN,broken clouds
17,Geraldton,-28.7667,114.6,98.6,25,0,19.57,AU,clear sky
18,Hermanus,-34.4187,19.2345,70.0,79,2,1.01,ZA,clear sky
19,Saint-Pierre,-21.3393,55.4781,87.8,62,0,18.41,RE,clear sky
20,Port Blair,11.6667,92.75,83.57,65,0,11.77,IN,clear sky
21,Victoria,22.2855,114.1577,73.4,40,0,9.22,HK,clear sky
22,Beringovskiy,63.05,179.3167,4.96,94,100,30.67,RU,snow
23,Meulaboh,4.1363,96.1285,85.12,62,68,5.41,ID,broken clouds
24,Matadi,-5.8167,13.45,76.55,89,100,2.06,CD,overcast clouds
25,Asau,46.4333,26.4,32.0,80,75,9.22,RO,light snow
26,Georgetown,5.4112,100.3354,89.6,45,20,5.75,MY,few clouds
27,Kavaratti,10.5669,72.642,81.1,72,13,10.65,IN,few clouds
28,Najran,17.4924,44.1277,59.0,31,0,4.61,SA,clear sky
29,Tuktoyaktuk,69.4541,-133.0374,-32.8,68,40,3.44,CA,scattered clouds
30,Hobart,-42.8794,147.3294,72.0,45,75,9.22,AU,broken clouds
31,Eureka,40.8021,-124.1637,54.0,82,90,8.05,US,overcast clouds
32,Jamestown,42.097,-79.2353,19.99,73,90,6.91,US,overcast clouds
33,Busselton,-33.65,115.3333,93.0,28,0,5.01,AU,clear sky
34,Ilulissat,69.2167,-51.1,6.8,66,90,9.22,GL,overcast clouds
35,Mayo,38.8876,-76.5119,32.0,55,1,4.59,US,clear sky
36,Butaritari,3.0707,172.7902,81.61,81,68,17.18,KI,broken clouds
37,Thompson,55.7435,-97.8558,14.0,85,90,3.44,CA,light snow
38,Mataura,-46.1927,168.8643,68.67,51,93,3.33,NZ,light rain
39,Yelbarga,15.6333,76.0167,82.96,30,9,11.5,IN,clear sky
40,Quelimane,-17.8786,36.8883,80.6,94,75,3.44,MZ,broken clouds
41,Nikolskoye,59.7035,30.7861,24.8,86,75,2.24,RU,light snow
42,Cidreira,-30.1811,-50.2056,74.05,90,92,4.99,BR,light rain
43,Mar Del Plata,-38.0023,-57.5575,60.01,58,75,16.11,AR,broken clouds
44,Copala,16.65,-98.9833,74.19,77,48,2.82,MX,scattered clouds
45,Rikitea,-23.1203,-134.9692,79.38,74,39,9.57,PF,scattered clouds
46,Hasaki,35.7333,140.8333,55.0,30,20,12.66,JP,few clouds
47,Kapaa,22.0752,-159.319,73.4,88,75,18.41,US,light rain
48,Ulladulla,-35.35,150.4667,68.0,100,90,5.75,AU,drizzle
49,Bredasdorp,-34.5322,20.0403,70.0,79,0,1.01,ZA,clear sky
50,Airai,-8.9266,125.4092,65.1,100,100,6.89,TL,light rain
51,Constitucion,-35.3333,-72.4167,58.44,91,22,5.7,CL,few clouds
52,Kagoro,9.6,8.3833,50.0,46,0,10.36,NG,haze
53,Rafaela,-31.2503,-61.4867,64.99,76,100,4.0,AR,overcast clouds
54,Katsuura,35.1333,140.3,51.8,37,20,16.11,JP,few clouds
55,Hami,42.8,93.45,32.5,74,0,4.99,CN,clear sky
56,Langxiang,46.95,128.8833,2.05,78,59,2.55,CN,broken clouds
57,Adrar,20.5022,-10.0711,62.11,28,42,8.55,MR,scattered clouds
58,Saskylakh,71.9167,114.0833,-32.67,83,100,8.46,RU,overcast clouds
59,Kungurtug,50.5994,97.5228,1.29,85,100,2.57,RU,overcast clouds
60,Ust-Tsilma,65.441,52.1498,8.01,94,100,8.55,RU,overcast clouds
61,Sorland,67.667,12.6934,30.36,88,75,6.35,NO,broken clouds
62,Ilovlya,49.3033,43.9796,28.4,100,90,20.13,RU,fog
63,Upernavik,72.7868,-56.1549,-9.63,85,82,4.14,GL,broken clouds
64,Otukpo,7.1913,8.1329,67.91,81,0,3.47,NG,clear sky
65,Lagos,6.5833,3.75,77.23,92,36,2.15,NG,scattered clouds
66,Maraba,-5.3686,-49.1178,75.2,100,75,2.3,BR,light rain
67,Vao,-22.6667,167.4833,76.6,79,58,21.99,NC,broken clouds
68,Villa Maria,-32.4075,-63.2402,61.07,85,99,6.6,AR,overcast clouds
69,Atuona,-9.8,-139.0333,79.23,76,78,17.72,PF,broken clouds
70,Dalen,52.6992,6.7556,24.01,95,0,5.57,NL,clear sky
71,Guerrero Negro,27.9769,-114.0611,56.95,73,68,3.56,MX,broken clouds
72,Shelburne,44.0787,-80.2041,3.99,92,20,2.3,CA,few clouds
73,Bafra,41.5678,35.9069,53.01,60,70,5.99,TR,broken clouds
74,Simbahan,6.3032,120.5836,81.55,76,100,15.28,PH,overcast clouds
75,Dikson,73.5069,80.5464,-32.31,80,0,4.97,RU,clear sky
76,Vardo,70.3705,31.1107,25.68,96,100,20.04,NO,light snow
77,Arraial Do Cabo,-22.9661,-42.0278,75.97,84,44,24.96,BR,scattered clouds
78,Kloulklubed,7.0419,134.2556,86.0,62,75,14.97,PW,broken clouds
79,Qaanaaq,77.484,-69.3632,-4.18,87,100,0.43,GL,overcast clouds
80,Peachland,49.7665,-119.7357,34.0,91,100,0.58,CA,overcast clouds
81,Coahuayana,18.7333,-103.6833,72.46,87,1,3.18,MX,clear sky
82,Port Lincoln,-34.7333,135.8667,69.78,54,81,7.14,AU,broken clouds
83,Pevek,69.7008,170.3133,-33.86,84,3,2.33,RU,clear sky
84,Lebu,-37.6167,-73.65,55.42,88,4,13.04,CL,clear sky
85,Lavrentiya,65.5833,-171.0,-13.07,85,82,9.44,RU,broken clouds
86,Moranbah,-22.0016,148.0466,91.18,33,38,16.2,AU,scattered clouds
87,East London,-33.0153,27.9116,69.8,94,75,2.3,ZA,broken clouds
88,Laguna,38.421,-121.4238,50.0,81,75,5.14,US,broken clouds
89,Truro,50.2653,-5.0544,42.8,93,90,12.66,GB,overcast clouds
90,Nobeoka,32.5833,131.6667,53.01,38,0,4.0,JP,clear sky
91,Norman Wells,65.282,-126.8329,-23.8,76,75,4.03,CA,broken clouds
92,Naryan-Mar,67.6713,53.087,0.81,92,100,10.69,RU,overcast clouds
93,Shimoda,34.6667,138.95,53.6,47,20,10.36,JP,few clouds
94,Mahebourg,-20.4081,57.7,84.2,70,40,10.36,MU,scattered clouds
95,Zhangye,38.9342,100.4517,33.85,59,0,0.11,CN,clear sky
96,Dashitou,43.3067,128.5114,14.2,95,100,6.02,CN,light snow
97,Sao Jose Da Coroa Grande,-8.8978,-35.1478,77.16,81,99,6.51,BR,overcast clouds
98,San Andres,12.5847,-81.7006,80.6,74,20,13.8,CO,few clouds
99,Tiksi,71.6872,128.8694,-26.75,86,100,4.9,RU,overcast clouds
100,Zubtsov,56.1753,34.5894,16.2,97,100,4.18,RU,overcast clouds
101,Valley City,46.9233,-98.0032,21.2,100,90,6.91,US,mist
102,Puerto Ayora,-0.7393,-90.3518,78.01,91,26,7.0,EC,scattered clouds
103,Albany,42.6001,-73.9662,9.0,59,19,4.12,US,few clouds
104,Turbat,26.0023,63.044,71.01,42,0,3.6,PK,clear sky
105,Boende,-0.2167,20.8667,72.73,93,100,2.48,CD,overcast clouds
106,Sovetskiy,61.3614,63.5842,1.58,93,100,0.09,RU,overcast clouds
107,Sobolevo,54.4299,31.8996,16.23,97,100,6.69,RU,overcast clouds
108,Souillac,-20.5167,57.5167,84.2,70,40,10.36,MU,scattered clouds
109,Teknaf,20.8624,92.3058,80.94,28,83,11.74,BD,broken clouds
110,Petropavlovsk-Kamchatskiy,53.0452,158.6483,30.2,47,100,17.9,RU,overcast clouds
111,Pangnirtung,66.1451,-65.7125,-5.08,79,68,3.38,CA,broken clouds
112,New Norfolk,-42.7826,147.0587,72.0,42,6,1.99,AU,clear sky
113,Kodiak,57.79,-152.4072,28.4,50,1,19.57,US,clear sky
114,Barrow,71.2906,-156.7887,-16.6,69,90,8.05,US,overcast clouds
115,Sioux Lookout,50.1001,-91.917,21.2,86,90,5.75,CA,light snow
116,Mastic Beach,40.7668,-72.8521,19.99,55,4,10.96,US,clear sky
117,Spassk,52.747,87.7545,15.96,93,23,3.89,RU,few clouds
118,Paoua,7.2427,16.4406,68.14,29,0,2.77,CF,clear sky
119,Hovd,48.0056,91.6419,18.93,71,13,3.62,MN,few clouds
120,Kieta,-6.2167,155.6333,84.06,68,100,15.99,PG,overcast clouds
121,Tasiilaq,65.6145,-37.6368,17.6,53,75,3.44,GL,broken clouds
122,Hilo,19.7297,-155.09,71.6,83,90,8.05,US,light rain
123,Araouane,18.9048,-3.5265,61.81,24,13,10.38,ML,few clouds
124,Narsaq,60.9167,-46.05,39.2,28,75,29.93,GL,broken clouds
125,Rio Grande,-32.035,-52.0986,68.0,99,100,3.33,BR,overcast clouds
126,College,64.8569,-147.8028,-2.2,77,90,1.01,US,light snow
127,Chernyshevskiy,63.0128,112.4714,-26.39,84,100,6.15,RU,overcast clouds
128,Bethel,41.3712,-73.414,15.01,67,1,4.59,US,clear sky
129,Tura,25.5198,90.2201,71.56,24,0,4.25,IN,clear sky
130,Mount Gambier,-37.8333,140.7667,73.4,46,0,16.11,AU,clear sky
131,Yang Talat,16.3998,103.3679,86.0,82,0,10.2,TH,clear sky
132,Bay Roberts,47.5999,-53.2648,28.99,93,90,13.8,CA,overcast clouds
133,Port Elizabeth,-33.918,25.5701,68.0,77,0,2.3,ZA,clear sky
134,Kongolo,-5.3833,27.0,72.34,93,100,3.62,CD,overcast clouds
135,Tete,-16.1564,33.5867,80.6,83,40,5.75,MZ,scattered clouds
136,Opuwo,-18.0607,13.84,70.3,55,100,2.75,NA,overcast clouds
137,Carnarvon,-24.8667,113.6333,91.4,52,0,14.97,AU,clear sky
138,Fortuna,40.5982,-124.1573,54.0,58,75,24.16,US,light rain
139,Ribeira Grande,38.5167,-28.7,62.89,94,94,17.05,PT,overcast clouds
140,Banda Aceh,5.5577,95.3222,84.96,65,73,12.53,ID,broken clouds
141,Acarau,-2.8856,-40.12,77.79,87,100,10.56,BR,overcast clouds
142,Naukot,24.8587,69.4024,78.19,18,0,7.4,PK,clear sky
143,Nome,64.5011,-165.4064,-14.8,76,1,4.09,US,clear sky
144,La Orilla,17.9833,-102.2333,73.83,87,35,4.32,MX,scattered clouds
145,Marawi,7.9986,124.2928,84.0,75,47,8.99,PH,scattered clouds
146,Hofn,64.2539,-15.2082,25.43,87,0,13.56,IS,clear sky
147,Ambilobe,-13.2,49.05,84.33,72,0,1.99,MG,clear sky
148,Rawson,-43.3002,-65.1023,61.27,60,52,13.82,AR,broken clouds
149,Aldan,58.6031,125.3894,-31.04,81,98,2.3,RU,overcast clouds
150,Sipoo,60.3775,25.2691,19.4,93,75,6.91,FI,light snow
151,Kavieng,-2.5744,150.7967,83.57,73,99,11.9,PG,overcast clouds
152,Vila Do Maio,15.1333,-23.2167,73.4,49,0,14.97,CV,clear sky
153,Sechura,-5.5569,-80.8222,76.66,63,39,10.8,PE,scattered clouds
154,Orcopampa,-15.2661,-72.3417,41.92,75,100,2.21,PE,overcast clouds
155,Mercedes,-34.6515,-59.4307,59.0,90,90,1.01,AR,overcast clouds
156,Koppies,-27.2418,27.5742,70.48,66,63,4.36,ZA,broken clouds
157,Saint-Philippe,-21.3585,55.7679,87.8,62,0,18.41,RE,light rain
158,Baykit,61.67,96.37,-23.33,79,3,1.68,RU,clear sky
159,Richards Bay,-28.783,32.0377,77.02,90,90,4.61,ZA,moderate rain
160,Vaini,-21.2,-175.2,78.8,94,75,5.75,TO,light rain
161,Hirara,24.8,125.2833,71.6,56,40,13.8,JP,scattered clouds
162,Narayanganj,23.6233,90.5011,69.8,68,0,6.91,BD,haze
163,Cayenne,4.9333,-52.3333,78.8,89,75,5.75,GF,broken clouds
164,Praia Da Vitoria,38.7333,-27.0667,64.4,88,75,11.34,PT,broken clouds
165,Poronaysk,49.2167,143.1167,8.29,88,100,3.22,RU,overcast clouds
166,Annau,37.8876,58.516,48.2,71,75,2.3,TM,broken clouds
167,Sitka,57.0531,-135.33,37.4,75,1,3.44,US,clear sky
168,Talnakh,69.4865,88.3972,-30.32,72,0,7.74,RU,clear sky
169,Ilmajoki,62.7333,22.5667,15.01,85,90,2.42,FI,light snow
170,Inirida,3.8653,-67.9239,76.82,77,60,2.46,CO,broken clouds
171,Bathsheba,13.2167,-59.5167,78.8,73,40,18.41,BB,scattered clouds
172,Roebourne,-20.7833,117.1333,97.77,35,99,6.06,AU,overcast clouds
173,Inhambane,-23.865,35.3833,80.6,83,40,5.08,MZ,scattered clouds
174,Kapchorwa,1.3965,34.4509,69.96,34,36,6.76,UG,scattered clouds
175,Mailsi,29.8003,72.1758,73.92,15,0,7.18,PK,clear sky
176,Byron Bay,-28.65,153.6167,80.6,73,90,11.5,AU,overcast clouds
177,Dauphin,51.1494,-100.0502,14.0,100,90,5.75,CA,light snow
178,Jaru,-10.4389,-62.4664,73.2,95,100,2.24,BR,light rain
179,Nuevo Progreso,23.1667,-97.95,69.01,68,41,4.83,MX,scattered clouds
180,Santa Maria,-29.6842,-53.8069,69.08,95,100,4.21,BR,overcast clouds
181,Aklavik,68.2191,-135.0107,-27.4,68,100,7.49,CA,overcast clouds
182,Andenes,69.3143,16.1194,28.4,69,100,17.27,NO,overcast clouds
183,Ayr,55.4627,-4.6339,32.0,86,0,11.5,GB,clear sky
184,Pasighat,28.0667,95.3333,73.65,29,1,4.23,IN,clear sky
185,Luganville,-15.5333,167.1667,82.8,69,71,9.73,VU,broken clouds
186,Vanersborg,58.3807,12.3234,19.4,92,90,3.44,SE,overcast clouds
187,Kalmunai,7.4167,81.8167,80.94,78,88,7.58,LK,overcast clouds
188,Bengkulu,-3.8004,102.2655,78.44,80,100,6.55,ID,overcast clouds
189,Vanimo,-2.6741,141.3028,85.12,66,92,12.08,PG,overcast clouds
190,Beloha,-25.1667,45.05,88.56,49,0,5.39,MG,clear sky
191,Kruisfontein,-34.0033,24.7314,68.0,78,0,1.99,ZA,clear sky
192,Alofi,-19.0595,-169.9187,80.6,78,100,8.05,NU,light rain
193,Ganzhou,28.8184,115.4327,62.8,48,45,1.61,CN,light rain
194,Gold Coast,-28.0,153.4333,82.0,73,90,10.36,AU,overcast clouds
195,Yerbogachen,61.2767,108.0108,-24.79,83,24,6.93,RU,few clouds
196,Tabas,33.5959,56.9244,56.05,35,0,3.96,IR,clear sky
197,Kalmar,56.6616,16.3616,21.99,92,0,4.61,SE,clear sky
198,Joao Pinheiro,-17.7425,-46.1725,72.64,69,86,7.23,BR,overcast clouds
199,Rach Gia,10.0167,105.0833,84.2,74,40,3.44,VN,scattered clouds
200,Severo-Kurilsk,50.6789,156.125,24.03,95,100,38.77,RU,light snow
201,Yumen,40.2833,97.2,35.01,55,0,30.78,CN,clear sky
202,Cap Malheureux,-19.9842,57.6142,86.0,66,8,10.0,MU,clear sky
203,Urumqi,43.801,87.6005,5.0,85,20,2.24,CN,light snow
204,Marsabit,2.3284,37.9899,65.66,65,39,15.86,KE,scattered clouds
205,Acapulco,16.8634,-99.8901,75.24,80,77,3.42,MX,broken clouds
206,Chokurdakh,70.6333,147.9167,-30.95,84,9,8.88,RU,clear sky
207,Hithadhoo,-0.6,73.0833,82.09,78,39,14.99,MV,scattered clouds
208,Seydi,39.4816,62.9137,49.71,47,100,12.33,TM,overcast clouds
209,Iracoubo,5.4802,-53.2011,77.04,85,68,13.98,GF,broken clouds
210,Hojai,26.0,92.8667,72.19,41,0,1.34,IN,clear sky
211,Sambava,-14.2667,50.1667,83.35,68,1,7.14,MG,clear sky
212,Willowmore,-33.2926,23.4895,65.73,58,0,2.26,ZA,clear sky
213,Zhicheng,30.2956,111.5047,48.0,92,100,3.04,CN,light rain
214,Otjimbingwe,-22.35,16.1333,74.35,42,11,2.35,NA,few clouds
215,Tual,-5.6667,132.75,82.74,76,62,16.49,ID,broken clouds
216,Barcelos,41.5388,-8.6151,51.8,100,75,9.22,PT,light rain
217,Iqaluit,63.7506,-68.5145,-11.2,70,1,17.27,CA,clear sky
218,Birao,10.2849,22.7882,69.62,21,5,11.23,CF,clear sky
219,Kashi,39.4547,75.9797,30.2,51,20,2.24,CN,few clouds
220,Kahului,20.8947,-156.47,73.4,68,1,14.97,US,clear sky
221,Boa Vista,2.8197,-60.6733,78.8,73,75,17.27,BR,broken clouds
222,Zhigalovo,54.8097,105.1578,-24.07,78,73,3.89,RU,broken clouds
223,Norwich,52.6278,1.2983,34.0,80,49,8.05,GB,scattered clouds
224,Mecca,21.4267,39.8261,70.5,33,0,2.84,SA,clear sky
225,Marrakesh,31.6315,-8.0083,48.2,93,20,8.05,MA,few clouds
226,Touros,-5.1989,-35.4608,75.2,94,75,3.44,BR,broken clouds
227,Tuatapere,-46.1333,167.6833,61.77,61,100,3.06,NZ,moderate rain
228,Mildura,-34.2,142.15,84.99,17,0,5.75,AU,clear sky
229,Krasnoselkup,65.7,82.4667,-22.05,83,100,17.09,RU,overcast clouds
230,Cabo San Lucas,22.8909,-109.9124,63.0,81,51,1.99,MX,broken clouds
231,Saint-Joseph,-21.3667,55.6167,87.8,62,0,18.41,RE,clear sky
232,Umm Kaddadah,13.6017,26.6876,61.93,28,28,16.26,SD,scattered clouds
233,Strezhevoy,60.7333,77.5889,-14.8,70,75,17.9,RU,snow
234,Ponta Do Sol,32.6667,-17.1,57.0,75,10,3.0,PT,clear sky
