,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
468,Warrington,53.3925,-2.5802,34.0,86,100,9.22,GB,overcast clouds
469,Eskil,38.4017,33.4131,37.65,87,57,6.6,TR,broken clouds
470,Naze,28.3667,129.4833,64.4,55,20,9.22,JP,few clouds
471,Areosa,41.7178,-8.8571,55.0,100,75,9.22,PT,light rain
472,Kangaatsiaq,68.3065,-53.4641,2.44,95,100,8.25,GL,overcast clouds
473,Horki,54.2861,30.9842,23.0,86,90,8.95,BY,snow
474,Chicama,-7.8447,-79.1469,73.42,64,51,6.17,PE,broken clouds
475,San Cristobal,7.7669,-72.225,63.61,71,77,2.06,VE,broken clouds
476,Luderitz,-26.6481,15.1594,65.08,63,0,17.6,NA,clear sky
477,San Pablo,14.0669,121.3258,84.99,71,93,11.01,PH,overcast clouds
478,Ohara,35.25,140.3833,51.8,30,20,12.66,JP,few clouds
479,Katherine,-14.4667,132.2667,93.2,52,40,10.36,AU,scattered clouds
480,Porirua,-41.1333,174.85,70.0,70,0,4.0,NZ,clear sky
481,Mount Kisco,41.2043,-73.7271,16.0,62,1,8.05,US,clear sky
482,Bambanglipuro,-7.95,110.2833,84.79,69,100,7.74,ID,overcast clouds
483,Belaya Gora,68.5333,146.4167,-34.29,84,98,4.74,RU,overcast clouds
484,Rudsar,37.1376,50.288,54.18,48,0,2.98,IR,clear sky
485,Sabha,27.0377,14.4283,54.28,43,0,9.55,LY,clear sky
486,Manta,-0.95,-80.7333,77.0,88,90,4.61,EC,light rain
487,Saldanha,-33.0117,17.9442,66.29,86,20,6.29,ZA,few clouds
488,Huescar,37.811,-2.5412,44.01,83,81,8.01,ES,broken clouds
489,Egvekinot,66.3167,-179.1667,-19.73,85,99,12.88,RU,overcast clouds
490,Aylmer,42.7668,-80.983,23.0,74,90,11.5,CA,overcast clouds
491,Amurrio,43.05,-3.0,55.99,62,75,26.46,ES,broken clouds
492,Pisco,-13.7,-76.2167,69.8,73,0,6.91,PE,clear sky
493,Coquimbo,-29.9533,-71.3436,64.4,88,0,4.61,CL,clear sky
494,Mandalgovi,45.7625,106.2708,3.83,81,20,24.56,MN,few clouds
495,Uppsala,60.0,17.75,10.0,85,25,1.14,SE,scattered clouds
496,Cizre,37.3272,42.1903,41.0,87,75,20.71,TR,mist
497,Sohag,26.557,31.6948,42.8,65,0,4.61,EG,clear sky
498,Uruzgan,32.8333,66.0,51.55,39,71,0.63,AF,broken clouds
499,Ust-Kulom,61.6864,53.6902,23.38,96,100,8.95,RU,overcast clouds
500,Urucara,-2.5364,-57.76,73.22,96,49,1.34,BR,scattered clouds
501,Wyndham,37.6985,-77.6125,34.0,47,90,3.44,US,light snow
502,Biak,-0.9131,122.8766,82.67,65,100,1.81,ID,overcast clouds
503,Nouadhibou,20.931,-17.0347,66.67,48,48,17.78,MR,scattered clouds
504,San Clemente,33.427,-117.612,48.99,92,48,3.94,US,scattered clouds
505,Fairbanks,64.8378,-147.7164,-4.0,77,90,1.07,US,light snow
506,Ancud,-41.8697,-73.8203,51.01,93,0,3.44,CL,clear sky
507,Aykhal,66.0,111.5,-30.48,81,100,11.59,RU,overcast clouds
508,Henties Bay,-22.116,14.2845,68.0,81,74,2.44,NA,broken clouds
509,Teya,60.3778,92.6267,-19.93,80,0,0.89,RU,clear sky
510,Nanakuli,21.3906,-158.1547,73.4,68,1,4.61,US,clear sky
511,Yeniseysk,58.4497,92.1703,-26.34,81,0,4.09,RU,clear sky
512,Ust-Uda,54.1742,103.0304,-23.82,80,30,4.54,RU,scattered clouds
513,Flin Flon,54.7682,-101.865,3.16,94,85,3.27,CA,overcast clouds
514,Walla Walla,46.0646,-118.343,51.8,40,40,16.11,US,scattered clouds
515,Soyo,-6.1349,12.3689,79.56,86,89,7.23,AO,light rain
516,Wairoa,-39.0333,177.3667,64.99,60,35,3.0,NZ,scattered clouds
517,Chiang Khong,20.2613,100.4046,81.0,99,33,4.94,TH,scattered clouds
518,Troyes,48.3333,4.0833,44.6,100,90,2.3,FR,overcast clouds
519,Launceston,-41.45,147.1667,71.6,49,75,12.66,AU,broken clouds
520,Nanhai,30.1282,111.7784,48.0,92,99,2.71,CN,light rain
521,Miles City,46.4083,-105.8406,23.0,86,75,4.68,US,mist
522,Sao Joao Da Barra,-21.6403,-41.0511,75.69,83,14,17.65,BR,few clouds
523,Fukue,32.6881,128.8419,55.4,62,40,9.22,JP,scattered clouds
524,North Battleford,52.7834,-108.2847,-2.2,84,40,2.3,CA,scattered clouds
525,Maralal,1.0968,36.698,65.7,38,19,10.78,KE,few clouds
526,Paamiut,61.994,-49.6678,23.07,89,0,13.78,GL,clear sky
527,Rehoboth,-23.3167,17.0833,71.91,21,36,5.93,NA,scattered clouds
528,Vostok,46.4856,135.8833,-6.43,85,13,4.79,RU,few clouds
529,Talcahuano,-36.7167,-73.1167,59.0,94,75,2.3,CL,broken clouds
530,Vilyuysk,63.7553,121.6247,-44.91,77,51,1.61,RU,broken clouds
531,Savannah Bight,16.45,-85.85,75.99,91,10,16.98,HN,clear sky
532,Curuguaty,-24.4694,-55.6945,73.74,92,50,5.37,PY,scattered clouds
533,Manggar,-2.8833,108.2667,84.61,71,100,11.83,ID,overcast clouds
534,Birjand,32.8663,59.2211,48.74,49,0,6.35,IR,clear sky
535,Bubaque,11.2833,-15.8333,77.94,55,55,10.29,GW,broken clouds
536,Mujiayingzi,42.1167,118.7833,29.25,91,84,4.83,CN,broken clouds
537,Paidha,2.4167,30.9855,75.09,29,94,5.3,UG,overcast clouds
538,Rafai,4.95,23.9167,72.99,22,95,6.76,CF,overcast clouds
539,Fort Nelson,58.8053,-122.7002,-16.6,76,40,2.3,CA,scattered clouds
540,Yago,21.8333,-105.0667,66.6,67,0,1.66,MX,clear sky
541,Port Augusta,-32.5,137.7667,80.6,36,99,14.97,AU,overcast clouds
542,Labuhan,-6.8844,112.2051,84.09,77,87,11.74,ID,overcast clouds
543,Boyolangu,-8.1181,111.8935,85.37,69,72,3.71,ID,light rain
544,Vestmanna,62.1564,-7.1664,30.2,69,40,10.36,FO,light snow
545,Kroonstad,-27.6504,27.2349,68.0,89,62,4.99,ZA,broken clouds
546,South Lake Tahoe,38.9332,-119.9844,26.01,93,1,4.61,US,mist
547,Porto Santo,33.072,-16.3415,55.4,88,0,8.05,PT,clear sky
548,Leshukonskoye,64.8989,45.7622,17.65,97,91,7.45,RU,overcast clouds
549,Kenai,60.5544,-151.2583,10.99,85,1,7.96,US,clear sky
550,Fos-Sur-Mer,43.4377,4.9446,44.6,100,0,6.91,FR,clear sky
551,Kunda,25.7167,81.5167,67.78,30,0,4.23,IN,clear sky
552,Bacungan,9.9106,118.7022,87.8,58,75,25.32,PH,broken clouds
553,San Vicente,-26.6167,-54.1333,66.42,100,26,4.38,AR,heavy intensity rain
554,Turukhansk,65.8167,87.9833,-23.28,80,63,6.11,RU,broken clouds
555,Hamilton,39.1834,-84.5333,34.0,93,90,5.75,US,light snow
556,Homa Bay,-0.5273,34.4571,75.27,49,10,4.76,KE,clear sky
557,Santa Rosa,14.3122,121.1114,84.99,56,89,5.01,PH,overcast clouds
558,Tupik,54.4253,119.9327,-22.77,79,68,2.57,RU,broken clouds
559,Nurota,40.5614,65.6886,50.0,57,99,6.91,UZ,overcast clouds
560,Bondoukou,8.0333,-2.8,69.6,76,22,3.0,CI,few clouds
561,Dhidhdhoo,6.8833,73.1,81.77,66,0,7.05,MV,clear sky
562,Kamina,-8.7386,24.9906,69.62,90,93,1.79,CD,overcast clouds
563,Sladkovo,55.5284,70.3385,14.4,95,99,10.04,RU,overcast clouds
564,Le Port,-20.9373,55.2919,86.0,66,0,19.57,RE,clear sky
565,Albury,-36.0833,146.9167,88.0,14,0,5.75,AU,clear sky
566,Tukan,53.8409,57.4552,22.82,95,94,3.04,RU,overcast clouds
567,Blagoyevo,63.3667,47.9167,19.33,96,100,8.55,RU,overcast clouds
568,Arman,59.7,150.1667,-13.31,76,46,17.05,RU,scattered clouds
569,Pedreiras,-4.5688,-44.6003,73.18,95,100,1.88,BR,light rain
570,Ugoofaaru,5.6667,73.0,82.2,69,44,9.01,MV,scattered clouds
571,Filingue,14.3521,3.3168,63.32,24,1,9.04,NE,clear sky
572,Talas,38.6908,35.5538,37.4,93,75,9.22,TR,broken clouds
573,Bonthe,7.5264,-12.505,75.61,89,26,1.68,SL,scattered clouds
574,Hit,33.6416,42.8251,52.88,54,95,14.29,IQ,overcast clouds
575,Salinopolis,-0.6136,-47.3561,78.44,86,100,9.51,BR,overcast clouds
576,Sterling,39.0062,-77.4286,32.0,51,90,4.61,US,overcast clouds
577,Gizo,-8.103,156.8419,85.82,70,64,22.82,SB,broken clouds
578,Tutoia,-2.7619,-42.2744,78.21,87,100,8.63,BR,light rain
579,Jalu,29.0331,21.5482,56.97,48,0,10.18,LY,clear sky
580,Khatanga,71.9667,102.5,-47.76,78,43,1.52,RU,scattered clouds
581,Snyder,32.7179,-100.9176,46.4,53,1,4.61,US,clear sky
582,Haines Junction,60.7522,-137.5108,-16.6,76,94,1.14,CA,overcast clouds
583,Marigot,18.0667,-63.0833,77.0,88,40,9.22,MF,scattered clouds
584,Loei,17.4167,101.5,84.0,50,0,3.44,TH,clear sky
585,Nelson Bay,-32.7167,152.15,79.0,83,75,19.57,AU,broken clouds
586,Bara,10.3744,10.7288,62.65,30,0,5.39,NG,clear sky
587,Zaoyang,32.1272,112.7542,58.95,35,91,5.21,CN,overcast clouds
588,Morros,-9.4467,-46.3003,73.92,77,49,2.44,BR,scattered clouds
589,Sisimiut,66.9395,-53.6735,4.19,89,55,7.94,GL,broken clouds
590,Vestmannaeyjar,63.4427,-20.2734,30.43,93,97,16.82,IS,overcast clouds
591,Abu Dhabi,24.4667,54.3667,73.4,73,40,10.36,AE,scattered clouds
592,Baglan,36.1307,68.7083,62.2,29,100,0.96,AF,overcast clouds
593,Yulara,-25.2406,130.9889,98.6,18,40,12.66,AU,scattered clouds
594,Oxelosund,58.6706,17.1015,8.6,85,0,6.91,SE,clear sky
595,Areka,7.0667,37.7,68.56,29,17,8.84,ET,few clouds
596,Maldonado,-34.6667,-54.9167,68.0,73,90,23.02,UY,moderate rain
597,Atar,20.5169,-13.0499,63.45,27,33,9.13,MR,scattered clouds
598,Hannan,34.3217,135.2325,50.0,53,75,2.3,JP,broken clouds
599,Klaksvik,62.2266,-6.589,30.2,69,40,10.36,FO,scattered clouds
600,Kologriv,58.8275,44.3178,21.15,97,100,8.79,RU,light snow
601,Hitachi,36.6,140.65,51.8,19,20,16.11,JP,few clouds
602,Moussoro,13.6408,16.4901,64.22,26,18,10.94,TD,few clouds
603,Iquitos,-3.7481,-73.2472,75.2,94,75,4.61,PE,broken clouds
604,Bandarbeyla,9.4942,50.8122,75.69,62,81,15.82,SO,broken clouds
605,Kurchum,48.5722,83.6542,3.31,91,57,2.24,KZ,broken clouds
606,Haapiti,-17.5667,-149.8667,78.8,69,75,6.91,PF,light rain
607,Farsund,58.0948,6.8047,32.0,84,0,16.75,NO,clear sky
608,Samarai,-10.6167,150.6667,84.88,73,100,19.69,PG,overcast clouds
609,Fare,-16.7,-151.0167,81.81,71,49,9.28,PF,scattered clouds
610,Aracatuba,-21.2089,-50.4328,73.83,82,100,5.08,BR,overcast clouds
611,Antofagasta,-23.65,-70.4,64.4,82,20,8.05,CL,few clouds
612,Nueva Concepcion,14.2,-91.3,63.0,91,55,1.99,GT,broken clouds
613,Padang,-0.9492,100.3543,79.75,80,97,7.16,ID,overcast clouds
614,Novovasylivka,46.8315,35.7536,41.59,86,97,11.52,UA,overcast clouds
615,Bloomfield,40.8068,-74.1854,25.0,63,1,4.74,US,clear sky
616,Las Vegas,36.175,-115.1372,46.0,61,1,5.75,US,clear sky
617,Gat,31.61,34.7642,57.99,55,0,1.99,IL,clear sky
618,Kilrush,52.6397,-9.4833,41.0,93,90,13.8,IE,moderate rain
619,Te Anau,-45.4167,167.7167,61.07,57,87,6.22,NZ,overcast clouds
620,Micheweni,-4.9667,39.8333,81.64,73,33,12.91,TZ,scattered clouds
621,Kualakapuas,-3.0091,114.3876,84.2,79,75,10.36,ID,broken clouds
622,Vagur,61.4732,-6.8119,34.45,83,48,18.68,FO,scattered clouds
623,Ofaqim,31.3141,34.6203,57.99,55,0,1.99,IL,clear sky
624,Boshnyakovo,49.6333,142.1667,1.78,92,100,9.22,RU,overcast clouds
625,Aksu,41.1231,80.2644,32.76,67,55,2.19,CN,broken clouds
626,Redlands,34.0556,-117.1825,51.01,66,1,3.96,US,clear sky
627,Long Eaton,52.8985,-1.2714,28.99,93,0,6.91,GB,clear sky
628,Nancha,47.1333,129.2667,2.16,74,47,2.53,CN,scattered clouds
629,Nyurba,63.2842,118.3319,-39.33,79,92,2.44,RU,overcast clouds
630,Mount Barker,-35.0667,138.8667,82.0,42,14,7.27,AU,few clouds
631,Dunedin,-45.8742,170.5036,59.0,81,65,21.0,NZ,broken clouds
632,La Seyne-Sur-Mer,43.0982,5.8847,50.0,81,85,17.0,FR,overcast clouds
633,Imbituba,-28.24,-48.6703,78.8,89,0,9.22,BR,clear sky
634,Kitimat,54.0524,-128.6534,27.0,79,97,6.08,CA,overcast clouds
635,Muros,42.7762,-9.0603,55.99,95,100,11.99,ES,light rain
636,Mandiana,10.6333,-8.6833,64.42,26,2,4.59,GN,clear sky
637,Catamarca,-28.4696,-65.7852,73.99,79,53,4.0,AR,broken clouds
638,Mehamn,71.0357,27.8492,24.8,96,100,19.06,NO,light snow
639,Beausejour,50.0622,-96.5167,23.0,93,100,1.14,CA,overcast clouds
640,Wittstock,53.1612,12.4829,21.99,80,0,3.0,DE,clear sky
641,Asosa,10.0667,34.5333,72.82,36,85,7.74,ET,overcast clouds
642,Nuristan,35.3,70.8333,24.53,81,67,3.06,AF,broken clouds
643,Bantou,26.2151,117.4893,76.41,33,0,1.77,CN,clear sky
644,Mitu,1.1983,-70.1733,71.42,98,48,0.2,CO,scattered clouds
645,Ahipara,-35.1667,173.1667,67.96,60,21,3.11,NZ,few clouds
646,Viramgam,23.1225,72.0484,73.4,25,0,5.75,IN,smoke
647,Algiers,36.7525,3.042,59.0,72,75,14.97,DZ,broken clouds
648,Ayorou,14.7308,0.9174,63.57,25,0,9.91,NE,clear sky
649,Kiruna,67.8557,20.2251,17.6,93,90,11.5,SE,light snow
650,Anadyr,64.75,177.4833,-0.4,78,90,29.08,RU,snow
651,San Ignacio,17.1561,-89.0714,68.0,94,0,4.61,BZ,clear sky
652,Sao Felix Do Xingu,-6.6447,-51.995,70.43,96,100,1.16,BR,overcast clouds
653,Guilin,25.2819,110.2864,57.2,77,90,1.61,CN,mist
654,Morro Bay,35.3658,-120.8499,45.0,93,4,2.53,US,clear sky
655,Korcula,42.9622,17.1369,46.0,93,75,5.75,HR,broken clouds
656,Simplicio Mendes,-7.8539,-41.9103,67.87,93,100,3.65,BR,overcast clouds
657,Turka,49.1541,23.0297,23.0,96,100,5.01,UA,overcast clouds
658,Ngunguru,-35.6167,174.5,69.01,65,0,8.01,NZ,clear sky
659,Dickinson,29.4608,-95.0513,66.99,94,90,4.61,US,mist
660,San Rafael,-34.6177,-68.3301,59.16,91,100,8.97,AR,moderate rain
661,Letlhakane,-21.4167,25.5833,76.08,69,41,12.88,BW,scattered clouds
662,Kashima,33.1061,130.0906,53.6,57,20,3.44,JP,few clouds
663,Esperantinopolis,-4.8667,-44.7083,72.79,95,100,0.98,BR,overcast clouds
664,Nhulunbuy,-12.2333,136.7667,91.4,58,40,8.05,AU,scattered clouds
665,Half Moon Bay,37.4636,-122.4286,51.01,87,40,3.44,US,scattered clouds
666,Breves,-1.6822,-50.4803,73.33,97,53,3.24,BR,light rain
667,Kikwit,-5.041,18.8162,69.78,97,100,5.5,CD,moderate rain
668,Kuching,1.55,110.3333,84.2,79,40,8.05,MY,scattered clouds
669,Ekimchan,53.0667,132.9667,-19.28,81,98,3.36,RU,overcast clouds
670,Keti Bandar,24.1447,67.4497,75.2,49,0,8.84,PK,clear sky
671,Pavlohrad,48.5167,35.8667,39.2,93,90,15.66,UA,overcast clouds
672,Ambunti,-4.2365,142.8448,87.26,70,90,4.16,PG,overcast clouds
673,Balaipungut,1.05,101.2833,82.4,65,40,2.89,ID,scattered clouds
674,Ligayan,4.6533,119.4706,78.33,83,100,8.61,PH,overcast clouds
675,New Glasgow,45.5834,-62.6486,24.8,86,100,16.11,CA,overcast clouds
676,Tshane,-24.0196,21.8684,76.46,62,75,6.51,BW,light rain
677,Wasilla,61.5814,-149.4394,16.0,85,1,0.56,US,clear sky
678,Nioro,13.35,-15.75,68.59,21,35,6.42,GM,scattered clouds
679,Bucerias,20.75,-105.3333,66.99,94,1,5.3,MX,clear sky
680,Shahrud,36.4182,54.9763,41.32,65,0,4.61,IR,clear sky
681,Kuruman,-27.4524,23.4325,73.0,78,0,7.43,ZA,clear sky
682,Bontang,0.1333,117.5,83.34,70,85,9.95,ID,overcast clouds
683,Forestville,38.8451,-76.875,34.0,55,1,3.44,US,clear sky
684,Victor Harbor,-35.5667,138.6167,68.0,68,0,1.99,AU,clear sky
685,Carlisle,40.2015,-77.1889,27.0,67,86,3.18,US,overcast clouds
686,Mehendiganj,22.8167,90.5333,72.01,29,0,6.33,BD,clear sky
687,Khed Brahma,24.0333,73.05,80.01,14,0,8.75,IN,clear sky
688,Karratha,-20.7377,116.8463,97.39,36,100,9.24,AU,overcast clouds
689,Noumea,-22.2763,166.4572,82.0,69,90,11.5,NC,overcast clouds
690,Spirit River,55.7833,-118.8361,3.2,92,32,5.75,CA,scattered clouds
691,Ust-Ilimsk,58.0006,102.6619,-31.88,78,81,3.06,RU,broken clouds
692,Misratah,32.3754,15.0925,62.01,37,8,20.42,LY,clear sky
693,Bedi,22.5,70.05,72.99,28,0,7.09,IN,clear sky
694,Puri,19.8,85.85,75.2,43,2,9.22,IN,haze
695,Dolzhanskaya,46.6311,37.8039,35.01,81,100,8.99,RU,light snow
696,Barra,-11.0894,-43.1417,76.23,69,31,11.52,BR,scattered clouds
697,Nacogdoches,31.6002,-94.6335,64.4,94,90,8.05,US,overcast clouds
698,Koulamoutou,-1.1303,12.4736,71.4,91,99,2.3,GA,overcast clouds
699,Verkhnyaya Inta,65.9811,60.3094,1.06,90,100,9.06,RU,overcast clouds
700,Puerto Del Rosario,28.5004,-13.8627,64.4,77,75,13.8,ES,broken clouds
701,Makokou,0.5738,12.8642,69.82,96,76,2.42,GA,broken clouds
702,Hobyo,5.3505,48.5268,78.51,63,62,17.72,SO,broken clouds
